dynasty,corresponding_year,source_ids,source_page_references,source_url
1st Dynasty,3000-2890 BCE,C23A6,,https://www.historyextra.com/period/ancient-egypt/timeline-ancient-egypt-dynasties-in-order/
2nd Dynasty,2890 - 2686 BCE,C23A6,,https://www.historyextra.com/period/ancient-egypt/timeline-ancient-egypt-dynasties-in-order/
3rd Dynasty,2686-2613 BCE,"C23A5,C23A6",p.73,https://www.historyextra.com/period/ancient-egypt/timeline-ancient-egypt-dynasties-in-order/
4th Dynasty,2613-2494 BCE,"C23A5,C23A6",p.73,https://www.historyextra.com/period/ancient-egypt/timeline-ancient-egypt-dynasties-in-order/
5th Dynasty,2494-2345 BCE,"C23A5,C23A6",p.73,https://www.historyextra.com/period/ancient-egypt/timeline-ancient-egypt-dynasties-in-order/
6th Dynasty,2345-2181 BCE,"C23A5,C23A6",p.73,https://www.historyextra.com/period/ancient-egypt/timeline-ancient-egypt-dynasties-in-order/
7th Dynasty,2181-2173 BCE,C23A5,p.73,
8th Dynasty,2173-2160 BCE,C23A5,p.73,
9th Dynasty,2160-2025 BCE,C23A6,,
10th Dynasty,2160-2025 BCE,C23A6,,
11th Dynasty,2055-1985 BCE,C23A6,,
12th Dynasty,1985-1773 BCE,C23A6,,
13th Dynasty,1773-1650 BCE,C23A6,,
14th Dynasty,1773-1650 BCE,C23A6,,
15th Dynasty,1650-1550 BCE,C23A6,,
16th Dynasty,1650-1580 BCE,C23A6,,
17th Dynasty,1580-1550 BCE,C23A6,,
18th Dynasty,1550-1295 BCE,C23A6,,
19th Dynasty,1295-1186 BCE,C23A6,,
