key,table,data_type,key_definition,attribution
contributor_link,contributors,VARCHAR(150),"A link to the contributors social profile, portfolio or website",null
symbol,source_id_conventions,VARCHAR(5),Represents each symbol included in the source ID'ing convention,null
description,source_id_conventions,VARCHAR(500),Describes the purpose of each symbol in the source ID'ing convention,null
example,source_id_conventions,VARCHAR(7),An example of the convention being described,null
table_name,comments,VARCHAR(50),The name of the table which the commentor is commenting on,null
comment_id,comments,VARCHAR(50),"Each comment is given a unique comment ID, for keeping track of comments",null
comment_type,comments,VARCHAR(25),Each comment is given a type which denotes the purpose for which the comment has been made,null
comment,comments,VARCHAR(150),The comment being made by the commentor.,null
footnote_id,footnotes,VARCHAR(50),,null
footnote,footnotes,VARCHAR(500),,null
table_name,table_index,VARCHAR(50),The name of the table or sheet,null
table_description,table_index,VARCHAR(500),A brief description of the purpose of the table,null
table_type,table_index,VARCHAR(7),Each table is given a type which denotes the purpose of the table,null
key,key_index,VARCHAR(50),Represents a header/column name,null
table,key_index,VARCHAR(50),Represents the table on which the header/column can be found,null
data_type,key_index,VARCHAR(150),Represents the type of the data being recorded in a particular header/column,null
key_definition,key_index,VARCHAR(500),Defines the data being recorded in a particular header/column,null
attribution,key_index,VARCHAR(500),Gives attribution to any external sources which were used to define a key or inform a rating system,null
technological_epoch_name,epoch_key,VARCHAR(25),The name given to a particular period of technological development,null
technological_epoch_dates,epoch_key,VARCHAR(50),The beginning and end dates of a particular period of technological development,null
invention_id,mechanical_inventions,VARCHAR(100),The unique ID of the invention being recorded in this row,null
date_invented_bce,mechanical_inventions,INTEGER,Records the dates of inventions which were made BCE (Before the Christian Era) time period,null
date_invented_ad,mechanical_inventions,INTEGER,Records the dates of inventions which were made in the AD (Anno Domini)  time period,null
ancient,mechanical_inventions,BOOLEAN,Records a True or False description of the period in which an invention was made,null
modern,mechanical_inventions,BOOLEAN,Records a True or False description of the period in which an invention was made,null
invention_name,mechanical_inventions,VARCHAR(100),The name of the invention being recorded in this row,null
inventor,mechanical_inventions,VARCHAR(100),Records the name of the person who engineered the invention,null
education,mechanical_inventions,VARCHAR(100) ,Records the education of the person who engineered the invention,null
